repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),b4afdb6b992545f90bd2a116e245ef43d964fb7b,2016-11-01T18:35:57-04:00,Elliott Sales de Andrade,DOC: Make backends compatible with numpydoc.,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),b4afdb6b992545f90bd2a116e245ef43d964fb7b,2016-11-01T18:35:57-04:00,Elliott Sales de Andrade,DOC: Make backends compatible with numpydoc.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),d0611c9c3a3c5c6e1f43a2f4d6837ca8e834bfd0,2016-10-08T21:12:02-04:00,Elliott Sales de Andrade,Remove executable bit from files that aren't run.,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,2287cac089e378909a748568626b5b5a1e642496,2016-09-11T22:49:17-04:00,Thomas A Caswell,FIX: add missing rcparam,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,b76b38b178d279d6b82ed2fc58c679ca72c2f4df,2016-09-11T12:54:05-04:00,Thomas A Caswell,DOC: address comments,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,b11d170d816f1b28f7d0f5f271e513c6fb206e93,2016-08-29T00:17:17-04:00,Thomas A Caswell,API: add `lines.scale_dashes` rcParam,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/seaborn-v0_8.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,534778f8353095426e3f9eac4a4df2c3d80687d0,2016-08-28T19:54:56-04:00,Thomas A Caswell,FIX: properly rename seaborn style sheet,1,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/seaborn-v0_8.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,628f4c1b8884eb230e83eac5b7b29b814da94750,2016-08-28T16:17:25-04:00,Thomas A Caswell,FIX: correct name of seaborn stylesheet,1,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,7bf436c426cfc4f7e2766ff0622ebbdd52d7f6ff,2016-08-22T16:12:12-04:00,Thomas A Caswell,Merge pull request #6904 from efiring/scatter_edgecolor,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,05e4ed9a420441e1227d394bc7e107503d03667a,2016-08-04T17:13:42-10:00,Eric Firing,Use edgecolor rather than linewidth to control edge display.,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,4721d2e01bafbdc13a0007de9dae782162e781f5,2016-07-16T16:22:53-05:00,Thomas A Caswell,Merge pull request #6735 from bcongdon/feature_rcParam_side_tick,69,Style file loaded via package resources
matplotlib,lib/matplotlib/tests/baseline_images/test_axes/bxp_horizontal.png,lib/matplotlib/tests/test_axes.py,image comparison (runtime file read),a32f426266104633eb257d4c11946673a45d3b73,2016-07-16T12:07:24-05:00,Thomas A Caswell,TST: update and enable 'default' style tests,6,Baseline image for visual comparison
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,1bf99bbeb0f67b95ecd5b5ae806bd80ce8eca089,2016-07-13T15:50:41-07:00,Ben Congdon,"House keeping files, fixed formatting",69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/fivethirtyeight.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,43d8e825159a504efb738d7169aa0f489881d008,2016-06-27T21:25:45-04:00,Thomas A Caswell,Merge pull request #6648 from CamDavidsonPilon/some-new-colors-to-539,5,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/fivethirtyeight.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,d2cb8a27565e827135770ea36b56c93f322af17c,2016-06-26T23:47:32-04:00,Cameron Davidson-Pilon,adding a new color and editing an existing color in fivethirtyeight.mplstyle,5,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),f57ad723581efd61772e13e69cd998e30fcd8ba4,2016-06-22T13:50:57-10:00,Eric Firing,"make antialiased gifs for Tk, and remove unused image files",239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),a9376df6c53ed58ff7c1250ec8c4db3108db9b8e,2016-06-18T00:49:38-07:00,Antony Lee,Switch the cursor to a busy cursor while redrawing.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),8356fc216712496d85fe7fa5782aed87d0b049d5,2016-06-08T09:51:30-04:00,Thomas A Caswell,Merge pull request #5626 from mdboom/new-icons,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),07e227537dd807df848c03ddf6197be011a07326,2016-06-06T12:08:35-07:00,Matthew Brett,"Revert ""ENH: ship six 1.9.0""",146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),07e227537dd807df848c03ddf6197be011a07326,2016-06-06T12:08:35-07:00,Matthew Brett,"Revert ""ENH: ship six 1.9.0""",239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,ff98856a15cbd236f0139454c9bddef1dad0294d,2016-05-30T19:40:24-04:00,Thomas A Caswell,Merge pull request #6481 from jenshnielsen/default-boxplot-style-rebase,69,Style file loaded via package resources
matplotlib,lib/matplotlib/tests/baseline_images/test_axes/bxp_horizontal.png,lib/matplotlib/tests/test_axes.py,image comparison (runtime file read),ff98856a15cbd236f0139454c9bddef1dad0294d,2016-05-30T19:40:24-04:00,Thomas A Caswell,Merge pull request #6481 from jenshnielsen/default-boxplot-style-rebase,6,Baseline image for visual comparison
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,0b1ff19504ff094959502e85f1106e7882a76d97,2016-05-26T11:58:23+01:00,Jens Hedegaard Nielsen,Add old defaults for boxplot to classic style,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/seaborn-v0_8.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,e70bc42b39e61255f55eff00acceada7055b3e39,2016-05-24T11:45:37-04:00,Benjamin Root,Merge pull request #6467 from tacaswell/sty_single_sns_sheet,1,Style file loaded via package resources
